"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 03:18:28 BDT 2023","Tue Dec 26 03:19:06 BDT 2023","38461","","Hawle application","","","","should login with valid credentials",""
"passed","Wed Dec 20 13:15:01 BDT 2023","Wed Dec 20 13:17:00 BDT 2023","118541","","Upload Dashboard file","","","","Upload file",""
"passed","Sat Dec 23 03:42:09 BDT 2023","Sat Dec 23 03:42:37 BDT 2023","27849","","Upload Dashboard file","","","","""before all"" hook for Upload Dashboard file",""
"broken","Tue Dec 19 20:06:29 BDT 2023","Tue Dec 19 20:08:09 BDT 2023","100010","","Upload Dashboard file","","","","Upload file",""
"broken","Thu Dec 21 18:31:00 BDT 2023","Thu Dec 21 18:31:14 BDT 2023","14274","","Hawle application","","","","should login with valid credentials",""
"passed","Tue Dec 26 03:30:40 BDT 2023","Tue Dec 26 03:30:53 BDT 2023","13285","","Alarm page navigation","","","","Alarm management page navigaiton",""
"broken","Thu Dec 21 16:34:08 BDT 2023","Thu Dec 21 16:34:12 BDT 2023","4684","","User able to Create Zone","","","","Create Zone",""
"broken","Sat Dec 23 03:42:37 BDT 2023","Sat Dec 23 03:44:17 BDT 2023","100020","","Upload Dashboard file","","","","Upload file",""
"unknown","Fri Dec 29 18:50:57 BDT 2023","Fri Dec 29 18:51:15 BDT 2023","18394","","Alarm page navigation","","","","Alarm management page navigaiton",""
"broken","Thu Dec 21 18:31:14 BDT 2023","Thu Dec 21 18:31:14 BDT 2023","48","","Hydrant Page","","","","Hydrant Creation",""
"broken","Thu Dec 21 16:38:59 BDT 2023","Thu Dec 21 16:39:07 BDT 2023","7655","","Upload Dashboard file","","","","""before all"" hook for Upload Dashboard file",""
"passed","Sun Dec 24 19:16:15 BDT 2023","Sun Dec 24 19:16:38 BDT 2023","22999","","Hawle application","","","","should login with valid credentials",""
"passed","Fri Dec 29 18:50:21 BDT 2023","Fri Dec 29 18:50:56 BDT 2023","35892","","Alarm page navigation","","","","""before all"" hook for Alarm page navigation",""
"broken","Sun Dec 24 19:16:38 BDT 2023","Sun Dec 24 19:17:54 BDT 2023","76019","","Hydrant Page","","","","Hydrant Creation",""
"passed","Tue Dec 19 20:05:54 BDT 2023","Tue Dec 19 20:06:29 BDT 2023","34735","","Upload Dashboard file","","","","""before all"" hook for Upload Dashboard file",""
"unknown","Fri Dec 29 18:50:01 BDT 2023","Fri Dec 29 18:50:15 BDT 2023","14796","","User page navigation","","","","user management page navigaiton",""
"broken","Mon Dec 25 16:42:26 BDT 2023","Mon Dec 25 16:42:31 BDT 2023","5107","","User able to Create Zone","","","","Create Zone",""
"broken","Tue Dec 26 02:47:45 BDT 2023","Tue Dec 26 02:48:40 BDT 2023","55154","","Hydrant Page","","","","Hydrant Creation",""
"passed","Tue Dec 26 03:29:39 BDT 2023","Tue Dec 26 03:29:58 BDT 2023","19285","","User page navigation","","","","user management page navigaiton",""
"broken","Mon Dec 25 16:29:32 BDT 2023","Mon Dec 25 16:31:12 BDT 2023","100018","","Upload Dashboard file","","","","Upload file",""
"passed","Fri Dec 29 18:49:34 BDT 2023","Fri Dec 29 18:50:01 BDT 2023","26572","","User page navigation","","","","""before all"" hook for User page navigation",""
"passed","Mon Dec 25 16:28:53 BDT 2023","Mon Dec 25 16:29:32 BDT 2023","39774","","Upload Dashboard file","","","","""before all"" hook for Upload Dashboard file",""
"broken","Thu Dec 21 12:52:02 BDT 2023","Thu Dec 21 12:52:02 BDT 2023","1","","Hydrant Page","","","","""before all"" hook for Hydrant Page",""
